0	0
1	0
-1	0
1	1
1	-1
2	0
-2	0
0	1
0	-1
0	2
-2	-1
0	3
-1	3
1	2
-1	-1
-2	-2
-2	-3
-1	2
-3	-2
-2	1
-1	-3
-1	4
3	0
0	4
-3	0
-4	0
2	2
-1	-2
4	0
-5	0
-2	-4
-5	1
2	3
3	3
0	5
3	4
-3	-4
4	-1
1	5
-1	1
-6	0
-4	-1
-6	1
3	-1
4	4
-7	1
-2	4
-3	-3
3	5
3	6
-7	2
-2	5
5	0
2	4
-4	-4
-8	2
-3	4
-4	-5
-4	4
-5	-4
-4	-6
-5	-5
-6	2
-9	2
5	-1
-6	-5
-3	5
5	1
-4	5
-2	-5
4	3
-1	-5
-5	5
-2	-6
4	6
1	6
-4	-7
4	-2
-6	5
4	7
5	-2
-2	-7
-9	1
-9	3
-10	3
4	5
5	-3
-4	-8
-3	-8
-7	5
1	7
1	4
-3	-9
5	7
6	-3
-10	2
-2	6
6	-4
-3	6
-3	-10
-3	7
6	7
-3	8
6	6
1	8
-2	-10
-9	0
-5	6
-2	-11
6	-1
-4	-9
-10	0
6	8
-1	-7
5	-4
-1	-10
0	8
-5	-9
-4	-10
-11	0
-8	3
4	-4
7	7
7	6
-4	-11
1	9
4	8
-10	1
0	-10
-11	-1
6	9
-1	8
-11	2
-5	-11
-3	9
2	9
-4	8
-12	0
-13	0
5	2
-12	2
-4	-12
6	-5
7	8
6	-2
6	-6
-13	2
3	9
8	7
-5	-8
2	10
7	-3
3	10
6	-7
-5	-12
8	8
-5	-10
-12	3
-7	-5
9	7
-12	1
-14	2
7	-1
-6	-12
-6	-13
-7	-12
7	5
-4	7
2	11
-14	0
7	-7
7	-5
-8	-12
-4	-13
-1	-4
-2	9
2	12
-5	-13
-14	-1
-7	-6
-6	6
-14	-2
-8	-13
0	-7
1	10
5	-5
-7	6
1	12
9	8
-3	-13
-4	-14
9	9
2	5
-8	-14
2	13
-4	9
3	11
-15	0
2	14
-8	-11
-6	7
7	0
-6	8
10	9
3	14
4	14
-15	2
5	8
4	15
5	15
8	-1
-15	-1
-1	-11
-15	-2
-6	-1
-7	8
8	-7
-7	9
11	9
-7	10
-8	-15
-9	-15
9	10
1	14
5	16
8	-8
-9	-11
-7	11
-4	-15
-15	3
-9	-16
-12	4
-16	-2
8	-5
-7	7
-10	-16
-16	-3
-11	-16
6	-8
9	-1
-8	10
-7	12
-12	-16
-16	2
12	9
-14	-3
5	6
0	-9
-12	5
-5	-15
-17	2
-12	6
-9	10
-7	13
-18	2
1	15
-19	2
-17	-3
1	16
-13	6
0	10
-19	1
12	10
-17	-4
1	17
9	-2
9	-8
0	16
8	-2
-17	-2
13	9
-18	-3
-18	3
-13	-16
-13	-15
10	-2
-4	-16
-19	-3
-5	-16
6	15
13	10
6	16
-9	-17
-17	3
10	-8
-16	3
13	11
-4	-17
8	-9
14	9
15	9
-3	-16
5	17
-2	-16
-7	14
14	10
5	18
-18	-2
8	-10
9	-3
-19	0
-1	-16
-6	14
-10	-17
-8	13
-14	-16
10	-9
-20	-3
-13	7
13	12
-12	7
8	-11
14	8
-18	-4
4	18
-15	-16
8	5
5	19
4	19
-4	-18
-14	-15
-20	-4
-8	-17
-7	15
11	-2
-15	-17
-2	-13
6	17
-1	16
9	0
-8	-18
-10	-18
-20	-5
-12	-17
16	9
-10	-11
0	-16
-15	-15
-8	-16
-12	-18
14	12
-12	-19
-14	7
15	12
-20	-6
4	20
6	19
11	-3
7	17
-18	-1
4	21
-20	1
-21	-3
9	1
-21	-6
-11	-19
4	22
7	18
-8	-19
10	-3
-15	-18
-17	4
-16	-17
15	11
-6	15
-21	-5
-17	-17
-1	-17
-12	-20
12	-3
-15	7
-12	-21
3	22
9	-11
15	10
-2	-17
16	10
11	-1
14	13
-20	2
-16	-18
-13	-18
-1	17
6	20
-10	10
-9	13
16	11
-20	3
-7	-19
3	23
17	11
-13	-21
5	22
-9	14
-12	-22
-15	8
-22	-6
-21	-2
6	22
-17	-18
-7	-20
-10	14
-16	8
-18	-17
9	-10
8	18
17	12
-21	3
-21	-7
18	12
-22	3
-19	-5
-23	-6
6	21
-3	-18
-8	-20
-16	9
13	8
-17	9
-19	3
-2	16
-13	-20
1	-16
3	24
13	-3
